epoch,train_loss,test_loss
1,-1106.7152099609375,-1845.646484375
2,-971.0724487304688,-1675.3143310546875
3,-917.85595703125,-1611.9237060546875
4,-895.6126098632812,-1584.3135986328125
5,-884.2039184570312,-1573.812744140625
6,-875.7393188476562,-1571.224365234375
7,-869.7861328125,-1561.3330078125
8,-864.690185546875,-1555.39111328125
9,-860.5715942382812,-1556.9053955078125
10,-856.8694458007812,-1555.084716796875
11,-853.712646484375,-1553.755859375
12,-849.8685913085938,-1547.0123291015625
13,-847.325927734375,-1543.2830810546875
14,-844.9920654296875,-1542.486572265625
15,-842.0309448242188,-1542.3837890625
16,-839.6377563476562,-1536.587158203125
17,-837.490478515625,-1539.677490234375
18,-835.552490234375,-1536.996337890625
19,-833.5582885742188,-1534.6981201171875
20,-831.9432373046875,-1537.2073974609375
21,-830.23974609375,-1531.7235107421875
22,-828.6477661132812,-1534.2889404296875
23,-827.0857543945312,-1532.865966796875
24,-826.0150146484375,-1530.4613037109375
25,-824.3849487304688,-1533.37646484375
26,-823.167236328125,-1531.9521484375
27,-821.9242553710938,-1529.953125
28,-820.6480102539062,-1530.301513671875
29,-819.6373291015625,-1531.839599609375
30,-818.7388916015625,-1530.92431640625
31,-817.9193725585938,-1527.3675537109375
32,-817.1937866210938,-1530.0440673828125
33,-816.0051879882812,-1528.0672607421875
34,-815.2725219726562,-1527.3941650390625
35,-814.8075561523438,-1535.045654296875
36,-813.69384765625,-1530.623046875
37,-813.0160522460938,-1531.1217041015625
38,-812.3435668945312,-1530.02392578125
39,-811.6947021484375,-1532.0743408203125
40,-810.9265747070312,-1530.5804443359375
41,-810.4552001953125,-1535.1409912109375
42,-809.6547241210938,-1531.9776611328125
43,-809.1478271484375,-1535.641845703125
44,-808.698486328125,-1534.733642578125
45,-808.0853881835938,-1533.4359130859375
46,-807.7000732421875,-1537.67724609375
47,-807.4657592773438,-1537.7457275390625
48,-806.7761840820312,-1535.8546142578125
49,-806.0947265625,-1536.4647216796875
50,-805.8764038085938,-1540.072265625
51,-805.4151611328125,-1540.4068603515625
52,-804.8878173828125,-1541.544189453125
53,-804.4166870117188,-1540.7579345703125
54,-804.2257690429688,-1539.908203125
55,-803.7666015625,-1543.98681640625
56,-803.2516479492188,-1540.3936767578125
57,-803.22265625,-1543.737060546875
58,-802.7820434570312,-1544.1331787109375
59,-802.33642578125,-1545.1097412109375
60,-802.3817138671875,-1546.7408447265625
61,-801.85498046875,-1546.3646240234375
62,-801.63330078125,-1548.0018310546875
63,-801.3046264648438,-1546.8634033203125
64,-800.9429931640625,-1548.3201904296875
65,-800.6688232421875,-1551.546142578125
66,-800.3632202148438,-1550.2730712890625
67,-800.0916748046875,-1550.983642578125
68,-799.7252807617188,-1555.06103515625
69,-799.5946655273438,-1555.0177001953125
70,-799.3236083984375,-1553.841552734375
71,-799.1665649414062,-1553.2750244140625
72,-798.7744140625,-1558.255859375
73,-798.7493896484375,-1560.3839111328125
74,-798.44091796875,-1558.72802734375
75,-798.2908935546875,-1557.67529296875
76,-798.0643310546875,-1560.267822265625
77,-797.650390625,-1559.5584716796875
78,-797.4932250976562,-1562.1903076171875
79,-797.3519897460938,-1566.328125
80,-797.3067626953125,-1562.458984375
81,-796.81787109375,-1563.2001953125
82,-796.7318115234375,-1564.528076171875
83,-796.6842651367188,-1564.1907958984375
84,-796.5377807617188,-1565.703125
85,-796.1282348632812,-1567.4915771484375
86,-795.9005737304688,-1567.8238525390625
87,-795.7481079101562,-1566.28515625
88,-795.9656372070312,-1573.1690673828125
89,-795.6763305664062,-1572.7271728515625
90,-795.3627319335938,-1571.387451171875
91,-795.248779296875,-1575.016357421875
92,-795.1729736328125,-1574.89453125
93,-794.7536010742188,-1574.353759765625
94,-794.5458374023438,-1575.140869140625
95,-794.6784057617188,-1577.28857421875
96,-794.4274291992188,-1577.052490234375
97,-794.3246459960938,-1582.3004150390625
98,-794.0513305664062,-1578.3896484375
99,-794.0769653320312,-1578.8189697265625
100,-793.8048095703125,-1580.74609375
