epoch,train_loss,test_loss
1,-1763.2076416015625,-2345.908447265625
2,-1375.86767578125,-2052.784423828125
3,-1250.9417724609375,-1923.3074951171875
4,-1184.62109375,-1847.247802734375
5,-1143.9061279296875,-1805.916748046875
6,-1116.9266357421875,-1781.9599609375
7,-1100.3074951171875,-1772.80712890625
8,-1087.5308837890625,-1754.0137939453125
9,-1079.5283203125,-1749.1346435546875
10,-1073.205078125,-1737.7196044921875
11,-1067.809814453125,-1734.8031005859375
12,-1064.4461669921875,-1729.919189453125
13,-1061.220703125,-1726.5751953125
14,-1055.947265625,-1717.9219970703125
15,-1053.9296875,-1718.0225830078125
16,-1050.7176513671875,-1715.5750732421875
17,-1048.779296875,-1714.85595703125
18,-1046.4510498046875,-1710.9117431640625
19,-1044.1251220703125,-1711.06005859375
20,-1041.958740234375,-1706.841552734375
21,-1039.687255859375,-1705.541015625
22,-1037.3262939453125,-1705.513427734375
23,-1035.4407958984375,-1711.1837158203125
24,-1033.5411376953125,-1703.5279541015625
25,-1031.8155517578125,-1703.62548828125
26,-1030.2325439453125,-1702.7723388671875
27,-1028.3648681640625,-1703.9425048828125
28,-1026.60400390625,-1706.7406005859375
29,-1025.5135498046875,-1700.5621337890625
30,-1023.7679443359375,-1706.5054931640625
31,-1022.4104614257812,-1709.041259765625
32,-1020.7472534179688,-1707.142822265625
33,-1018.999267578125,-1702.7742919921875
34,-1018.3585205078125,-1710.036376953125
35,-1016.4698486328125,-1704.689208984375
36,-1015.0809326171875,-1706.2935791015625
37,-1014.1278076171875,-1703.5482177734375
38,-1012.3369140625,-1704.2838134765625
39,-1010.791748046875,-1701.4588623046875
40,-1009.8555908203125,-1699.7327880859375
41,-1008.5084228515625,-1698.2471923828125
42,-1007.79638671875,-1701.1456298828125
43,-1006.4324340820312,-1700.9383544921875
44,-1005.6168823242188,-1696.24169921875
45,-1004.86328125,-1697.24267578125
46,-1003.3758544921875,-1699.364501953125
47,-1002.364501953125,-1696.8232421875
48,-1001.1505737304688,-1702.419921875
49,-1000.1717529296875,-1698.045166015625
50,-999.5732421875,-1702.7828369140625
51,-998.2084350585938,-1697.2408447265625
52,-997.0548706054688,-1702.29248046875
53,-996.3740844726562,-1697.0335693359375
54,-995.7799072265625,-1704.44921875
55,-994.5481567382812,-1696.7020263671875
56,-994.6868896484375,-1707.400634765625
57,-993.2811279296875,-1691.32568359375
58,-992.8262329101562,-1695.7415771484375
59,-991.97314453125,-1697.0128173828125
60,-991.2900390625,-1696.8045654296875
61,-990.2614135742188,-1702.888671875
62,-989.509033203125,-1696.704833984375
63,-989.00146484375,-1704.4071044921875
64,-988.4322509765625,-1705.4007568359375
65,-987.2373046875,-1707.4044189453125
66,-986.5751342773438,-1707.1751708984375
67,-986.062255859375,-1702.218017578125
68,-985.437744140625,-1697.2293701171875
69,-984.798828125,-1702.7911376953125
70,-984.2855834960938,-1701.792236328125
71,-983.5769653320312,-1701.3465576171875
72,-983.306884765625,-1703.5614013671875
73,-982.8028564453125,-1712.70556640625
74,-981.515869140625,-1705.7474365234375
75,-981.1014404296875,-1700.713134765625
76,-980.5726318359375,-1706.0771484375
77,-980.1882934570312,-1710.644775390625
78,-979.1593627929688,-1707.881591796875
79,-978.7625122070312,-1706.0823974609375
80,-978.4385986328125,-1710.304443359375
81,-977.900634765625,-1709.8917236328125
82,-977.5667114257812,-1713.018798828125
83,-976.739013671875,-1711.5882568359375
84,-976.4161376953125,-1713.6812744140625
85,-975.6550903320312,-1709.10986328125
86,-975.2479248046875,-1717.7293701171875
87,-974.6340942382812,-1715.282470703125
88,-974.3709716796875,-1707.7965087890625
89,-973.47412109375,-1708.83056640625
90,-973.2850341796875,-1708.8858642578125
91,-972.917724609375,-1721.1614990234375
92,-972.3766479492188,-1719.2142333984375
93,-971.9921264648438,-1721.212890625
94,-971.2626953125,-1714.3345947265625
95,-971.0009155273438,-1722.99853515625
96,-970.1943969726562,-1716.3067626953125
97,-969.7896728515625,-1719.0885009765625
98,-969.5209350585938,-1718.7056884765625
99,-969.4788818359375,-1727.53759765625
100,-969.196044921875,-1728.032470703125
