epoch,train_loss,test_loss
1,-1106.4105224609375,-1845.87109375
2,-1025.3116455078125,-1735.4345703125
3,-967.3783569335938,-1674.839599609375
4,-932.259033203125,-1633.09521484375
5,-913.9982299804688,-1610.03955078125
6,-900.2832641601562,-1591.998046875
7,-890.7471313476562,-1585.076171875
8,-882.595458984375,-1574.1104736328125
9,-876.8936157226562,-1570.2349853515625
10,-871.6094360351562,-1568.7030029296875
11,-867.6793823242188,-1566.1973876953125
12,-863.1531982421875,-1559.28564453125
13,-859.9336547851562,-1557.0015869140625
14,-856.669677734375,-1557.2803955078125
15,-853.4335327148438,-1551.991943359375
16,-851.0750122070312,-1551.9080810546875
17,-848.2662963867188,-1545.10009765625
18,-845.4191284179688,-1544.6751708984375
19,-842.8820190429688,-1546.351806640625
20,-840.7874145507812,-1546.38525390625
21,-838.4383544921875,-1544.646484375
22,-836.7457885742188,-1538.2784423828125
23,-834.3843383789062,-1540.402587890625
24,-832.9862060546875,-1542.705810546875
25,-830.6231689453125,-1539.0018310546875
26,-829.4779052734375,-1537.9066162109375
27,-827.5061645507812,-1534.252685546875
28,-825.688720703125,-1532.8580322265625
29,-824.215576171875,-1532.2701416015625
30,-823.2120971679688,-1533.107421875
31,-821.6467895507812,-1536.369384765625
32,-820.6908569335938,-1533.7178955078125
33,-820.2091674804688,-1530.1568603515625
34,-818.3353271484375,-1529.07958984375
35,-816.9341430664062,-1527.4183349609375
36,-815.9475708007812,-1531.4100341796875
37,-815.1796875,-1531.870361328125
38,-813.67138671875,-1529.1822509765625
39,-813.1873779296875,-1529.6143798828125
40,-811.808349609375,-1526.7998046875
41,-810.952392578125,-1526.931396484375
42,-810.4898681640625,-1529.7578125
43,-809.5595092773438,-1529.815185546875
44,-808.82470703125,-1527.5386962890625
45,-808.1133422851562,-1533.004150390625
46,-807.2431640625,-1529.0166015625
47,-806.6962890625,-1530.041748046875
48,-805.3643188476562,-1527.70556640625
49,-804.8977661132812,-1529.818603515625
50,-803.9827270507812,-1529.1422119140625
51,-804.1123657226562,-1535.0775146484375
52,-803.4046630859375,-1526.78857421875
53,-802.9186401367188,-1524.0460205078125
54,-801.98388671875,-1530.798583984375
55,-801.2882690429688,-1525.5740966796875
56,-800.4388427734375,-1523.5352783203125
57,-799.8915405273438,-1529.6314697265625
58,-799.4673461914062,-1529.03125
59,-798.892822265625,-1524.2025146484375
60,-798.1116943359375,-1529.0189208984375
61,-797.8925170898438,-1530.4063720703125
62,-797.7809448242188,-1530.9971923828125
63,-797.178466796875,-1529.3055419921875
64,-796.4100952148438,-1533.705810546875
65,-796.053466796875,-1531.7637939453125
66,-795.4832763671875,-1528.619873046875
67,-795.4815063476562,-1530.55615234375
68,-794.8406982421875,-1527.95458984375
69,-794.2315063476562,-1529.0625
70,-794.723876953125,-1534.1611328125
71,-794.1583862304688,-1528.7515869140625
72,-793.2977905273438,-1530.264404296875
73,-793.6456909179688,-1530.75
74,-792.714111328125,-1531.6719970703125
75,-793.014892578125,-1531.8834228515625
76,-792.155517578125,-1534.3035888671875
77,-791.9029541015625,-1530.10205078125
78,-791.21826171875,-1531.5631103515625
79,-791.216064453125,-1533.9261474609375
80,-790.9976196289062,-1535.5787353515625
81,-790.4696655273438,-1534.66943359375
82,-789.9131469726562,-1536.73486328125
83,-790.4894409179688,-1536.1722412109375
84,-790.02685546875,-1538.3883056640625
85,-789.3045654296875,-1535.1834716796875
86,-789.2651977539062,-1533.6600341796875
87,-789.0830688476562,-1535.6300048828125
88,-788.6256103515625,-1535.784423828125
89,-788.0728759765625,-1536.8603515625
90,-788.7359619140625,-1536.33837890625
91,-787.9682006835938,-1534.528564453125
92,-788.0247802734375,-1538.9754638671875
93,-787.6817016601562,-1539.1842041015625
94,-787.1849975585938,-1535.761474609375
95,-787.6043090820312,-1543.124755859375
96,-786.4075317382812,-1535.7689208984375
97,-786.7954711914062,-1537.7333984375
98,-786.6658325195312,-1536.4735107421875
99,-785.697021484375,-1538.9638671875
100,-785.7484130859375,-1540.93408203125
