round,test_loss
1,-1839.6060791015625
2,-1660.3436279296875
3,-1619.5384521484375
4,-1603.7498779296875
5,-1592.8975830078125
6,-1583.9595947265625
7,-1574.52734375
8,-1569.914306640625
9,-1563.883544921875
10,-1560.98291015625
11,-1559.76318359375
12,-1554.856689453125
13,-1554.80029296875
14,-1554.569091796875
15,-1550.9683837890625
16,-1550.6348876953125
17,-1550.768310546875
18,-1546.9556884765625
19,-1546.029296875
20,-1546.525634765625
21,-1545.7271728515625
22,-1542.871826171875
23,-1544.5443115234375
24,-1545.4805908203125
25,-1543.4052734375
26,-1542.7578125
27,-1539.5494384765625
28,-1540.2332763671875
29,-1539.6563720703125
30,-1543.0164794921875
31,-1543.964111328125
32,-1541.5045166015625
33,-1541.0113525390625
34,-1543.6793212890625
35,-1543.8533935546875
36,-1545.186767578125
37,-1540.1053466796875
38,-1552.247802734375
39,-1553.1795654296875
40,-1559.4136962890625
1,-1854.2142333984375
1,-1802.3245849609375
2,-1659.7353515625
3,-1622.0155029296875
4,-1603.7733154296875
5,-1591.1259765625
6,-1579.8309326171875
7,-1576.597412109375
8,-1573.745849609375
9,-1567.8331298828125
10,-1563.8797607421875
11,-1562.49267578125
12,-1562.7960205078125
13,-1556.252685546875
14,-1555.9718017578125
15,-1557.3243408203125
16,-1552.6815185546875
17,-1553.983154296875
18,-1556.5062255859375
19,-1549.7783203125
20,-1550.7315673828125
21,-1550.70556640625
22,-1549.530517578125
23,-1547.02001953125
24,-1546.2987060546875
25,-1548.7724609375
26,-1528.7989501953125
27,-1553.1202392578125
28,-1552.9752197265625
29,-1555.4879150390625
30,-1555.5028076171875
31,-1559.4803466796875
32,-1560.9483642578125
33,-1564.3646240234375
34,-1558.80615234375
35,-1564.6427001953125
36,-1564.9505615234375
37,-1566.6422119140625
38,-1565.6480712890625
39,-1570.2757568359375
40,-1560.0660400390625
1,-1880.0164794921875
2,-1707.9814453125
3,-1656.23681640625
4,-1631.594970703125
5,-1614.58203125
6,-1608.27587890625
7,-1599.8685302734375
8,-1594.1365966796875
9,-1593.5233154296875
10,-1590.4112548828125
11,-1586.399658203125
12,-1585.888427734375
13,-1583.2672119140625
14,-1582.6092529296875
15,-1584.0045166015625
16,-1579.1318359375
17,-1579.0509033203125
18,-1575.0303955078125
19,-1576.404541015625
20,-1577.3597412109375
21,-1574.1119384765625
