round,test_loss
1,2059.929443359375
2,1946.533447265625
3,1923.9412841796875
4,1906.8841552734375
5,1896.8975830078125
6,1890.1761474609375
7,1883.84228515625
8,1881.93994140625
9,1879.5556640625
10,1877.0703125
11,1875.493896484375
12,1874.677978515625
13,1871.8692626953125
14,1869.4560546875
15,1869.150634765625
16,1867.59716796875
17,1867.698486328125
18,1873.7525634765625
19,1871.3477783203125
20,1872.90869140625
1,2096.009033203125
2,1954.3966064453125
3,1935.451171875
4,1918.999755859375
5,1909.462890625
6,1901.4781494140625
7,1896.2938232421875
8,1894.102783203125
9,1887.2919921875
10,1883.2601318359375
11,1885.07568359375
12,1880.545654296875
13,1880.8363037109375
14,1878.5396728515625
15,1877.732666015625
16,1882.824951171875
17,1878.641357421875
18,1884.424072265625
19,1883.1925048828125
20,1879.67919921875
1,2101.456787109375
2,1965.8597412109375
3,1941.15576171875
4,1926.3162841796875
5,1921.0062255859375
6,1913.6533203125
7,1912.0384521484375
8,1909.546875
9,1908.9290771484375
10,1904.926513671875
11,1901.2265625
12,1899.64697265625
13,1894.35693359375
14,1892.8602294921875
15,1888.96044921875
16,1890.2724609375
17,1887.037353515625
18,1891.6527099609375
19,1892.5775146484375
20,1889.113037109375
1,2145.390380859375
2,1969.790771484375
3,1945.305419921875
4,1920.9097900390625
5,1906.1566162109375
6,1903.7808837890625
7,1901.7301025390625
8,1895.0621337890625
9,1891.3406982421875
10,1893.7708740234375
11,1887.3876953125
12,1886.8211669921875
13,1889.4443359375
14,1886.2457275390625
15,1884.3409423828125
16,1890.384521484375
17,1885.904052734375
18,1884.7281494140625
19,1879.8482666015625
20,1882.2177734375
1,2120.048828125
2,1953.6888427734375
3,1922.4139404296875
4,1909.0438232421875
5,1900.1671142578125
6,1891.5029296875
7,1884.80322265625
8,1884.0244140625
9,1876.8297119140625
10,1876.33984375
11,1879.5911865234375
12,1878.794189453125
13,1877.72216796875
14,1878.5479736328125
15,1879.90185546875
16,1880.4024658203125
17,1879.3248291015625
18,1878.0142822265625
19,1880.481689453125
20,1881.0301513671875
1,2098.914306640625
1,2118.7412109375
2,1976.5003662109375
3,1945.8983154296875
4,1928.0970458984375
5,1912.8563232421875
6,1905.8824462890625
7,1901.04931640625
8,1894.4481201171875
9,1893.0142822265625
10,1889.1998291015625
11,1889.92919921875
12,1885.6968994140625
13,1885.4127197265625
14,1884.4432373046875
15,1886.5535888671875
16,1885.75341796875
17,1883.7518310546875
18,1886.0645751953125
19,1887.5047607421875
20,1885.0673828125
1,2143.60791015625
1,2090.316650390625
2,1969.3631591796875
3,1936.2431640625
4,1917.6572265625
5,1907.8665771484375
6,1898.1907958984375
7,1888.1898193359375
8,1887.0880126953125
9,1880.95166015625
10,1875.723876953125
11,1873.553955078125
12,1872.4375
13,1868.2806396484375
14,1867.487060546875
15,1867.8995361328125
16,1864.608642578125
17,1862.6077880859375
18,1866.8843994140625
19,1863.4842529296875
20,1866.2857666015625
1,2101.02197265625
2,1965.7879638671875
3,1941.4417724609375
4,1917.84033203125
5,1912.585205078125
6,1903.3197021484375
7,1899.56787109375
8,1895.11865234375
9,1896.1602783203125
10,1889.5943603515625
11,1888.778564453125
12,1889.5067138671875
13,1883.69482421875
14,1887.351806640625
15,1879.9000244140625
16,1887.529541015625
17,1885.4420166015625
18,1885.8822021484375
19,1885.3563232421875
20,1887.46630859375
1,2127.40966796875
2,1966.9068603515625
3,1932.4764404296875
4,1912.3201904296875
5,1899.79443359375
6,1890.60693359375
7,1886.2757568359375
8,1884.7642822265625
9,1879.648681640625
10,1875.25537109375
11,1872.32080078125
12,1870.2265625
13,1869.9034423828125
14,1869.62451171875
15,1865.84912109375
16,1864.434326171875
17,1865.0628662109375
18,1865.4053955078125
19,1862.44580078125
20,1864.849365234375
1,2064.746337890625
2,1951.447509765625
3,1932.656982421875
4,1917.157958984375
5,1909.43603515625
6,1902.1414794921875
7,1894.07373046875
8,1885.74609375
9,1888.46142578125
10,1886.401123046875
11,1882.029052734375
12,1876.8223876953125
13,1876.0201416015625
14,1875.7276611328125
15,1877.0777587890625
16,1879.30712890625
17,1880.60205078125
18,1875.8426513671875
19,1877.378662109375
20,1877.4019775390625
1,2147.582275390625
2,1967.1072998046875
3,1952.5223388671875
4,1936.718994140625
5,1924.2630615234375
6,1915.9737548828125
7,1911.3524169921875
8,1910.1505126953125
9,1899.485107421875
10,1900.72412109375
11,1900.2877197265625
12,1891.8546142578125
13,1892.9561767578125
14,1888.6385498046875
15,1892.29345703125
16,1892.984130859375
17,1889.489013671875
18,1890.145751953125
19,1890.4129638671875
20,1890.1453857421875
1,2093.30712890625
2,1965.591796875
3,1940.5484619140625
4,1930.7762451171875
5,1914.9937744140625
6,1908.4368896484375
7,1898.9871826171875
8,1903.7005615234375
9,1896.1361083984375
10,1894.5638427734375
11,1890.5050048828125
12,1890.1568603515625
13,1881.46142578125
14,1878.922607421875
15,1880.4095458984375
16,1878.4671630859375
17,1877.0604248046875
18,1883.709716796875
19,1880.1397705078125
20,1879.5382080078125
